Country Name,Country Code,alcohol_pc
Nauru,NRU,3.71
New Zealand,NZL,10.63
OECD members,OED,9.192062122
Oman,OMN,0.78
Other small states,OSS,5.115111992
Pakistan,PAK,0.34
Panama,PAN,7.98
Peru,PER,6.38
Philippines,PHL,6.86
Palau,PLW,
Papua New Guinea,PNG,1.39
Poland,POL,11.71
Pre-demographic dividend,PRE,5.567612589
Puerto Rico,PRI,
"Korea, Dem. People's Rep.",PRK,3.8
Portugal,PRT,12.03
Paraguay,PRY,7.58
West Bank and Gaza,PSE,
Pacific island small states,PSS,2.471719194
Post-demographic dividend,PST,10.09703177
French Polynesia,PYF,
Qatar,QAT,1.59
Romania,ROU,11.74
Russian Federation,RUS,11.19
Rwanda,RWA,8.95
South Asia,SAS,4.333294381
Saudi Arabia,SAU,0.19
Sudan,SDN,0.51
Senegal,SEN,0.76
Singapore,SGP,2.03
Solomon Islands,SLB,1.83
Sierra Leone,SLE,5.7
El Salvador,SLV,3.89
San Marino,SMR,
Somalia,SOM,0.009
Serbia,SRB,8.75
Sub-Saharan Africa (excluding high income),SSA,5.835743457
South Sudan,SSD,
Sub-Saharan Africa,SSF,5.837510432
Small states,SST,5.104703759
Sao Tome and Principe,STP,5.88
Suriname,SUR,5.33
Slovak Republic,SVK,11.14
Slovenia,SVN,11.9
Sweden,SWE,8.93
Eswatini,SWZ,10.04
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,20.5
Syrian Arab Republic,SYR,0.24
Turks and Caicos Islands,TCA,
Chad,TCD,1.37
East Asia & Pacific (IDA & IBRD countries),TEA,6.224374693
Europe & Central Asia (IDA & IBRD countries),TEC,8.053197891
Togo,TGO,2.46
Thailand,THA,8.3
Tajikistan,TJK,3.28
Turkmenistan,TKM,4.93
Latin America & the Caribbean (IDA & IBRD countries),TLA,6.341037019
Timor-Leste,TLS,2.17
Middle East & North Africa (IDA & IBRD countries),TMN,0.682973122
Tonga,TON,0.8
South Asia (IDA & IBRD),TSA,4.333294381
Sub-Saharan Africa (IDA & IBRD countries),TSS,5.837510432
Trinidad and Tobago,TTO,6.72
Tunisia,TUN,2.12
Turkey,TUR,2.05
Tuvalu,TUV,1.52
Tanzania,TZA,11.27
Uganda,UGA,15.09
Ukraine,UKR,8.32
Upper middle income,UMC,6.963591804
Uruguay,URY,6.92
United States,USA,9.87
Uzbekistan,UZB,2.59
St. Vincent and the Grenadines,VCT,9.06
"Venezuela, RB",VEN,4.14
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,8.66
Vanuatu,VUT,2.25
World,WLD,6.18140363
Samoa,WSM,2.66
Kosovo,XKX,
"Yemen, Rep.",YEM,0.051
South Africa,ZAF,9.52
Zambia,ZMB,6.54
Zimbabwe,ZWE,4.67
